ibgecode,mun,uf,div_regiao,distcap,ideb_2005,ideb_2007,ideb_2009,ideb_2011,mtm_2005,mtm_2007,mtm_2009,mtm_2011,lp_2005,lp_2007,lp_2009,lp_2011,pop_2005,Dpibpc_0005,pibpc_2005,pibpc_2007,pibpc_2009,pibpc_2011,idh_2000
2313401,902,CE,1,272,3.1,3.7,4.6,5.3,158,175.81,191.67,204.55,152.6,157.17,175.12,190.21,66880,1.346720078,25.46278642,28.50858586,29.3835172,32.09469154,0.46
2313500,910,CE,0,94,3.1,3,3.9,4.8,153.8,154.88,172.32,195.03,144.4,139,159.49,180.69,49654,4.475193803,13.16344294,14.33409644,12.93504532,15.10732054,0.42
2313559,916,CE,0,100,3.3,3.2,4.1,5,154,158.28,172.35,198.86,150.6,139.86,164.55,184.45,12489,-0.544991135,5.233192595,6.211189329,7.114377913,8.757961783,0.418
2313609,917,CE,1,265,3.6,3.3,4.6,5.4,158.6,161.73,189.75,210.94,157.6,153.84,174.25,189.33,29426,-1.254697216,4.669000389,5.425457583,6.140399475,6.17083009,0.464
2313708,919,CE,1,325,2.3,2.6,3.5,4.7,157,170.73,174.64,205.15,152.2,162.24,160.58,184.01,7146,-0.03192409,1.367758883,1.541161722,1.648946167,1.712017843,0.419
2313757,922,CE,0,90,3.1,3.2,3.7,4.4,159,162.14,167.94,180.42,151.2,151.54,162.52,174.36,18604,0.282953946,2.41960386,2.579523627,2.709341924,3.047341239,0.395
2313807,925,CE,0,108,3.3,3.6,4.2,4.4,156.2,162.49,177.09,179.97,151.8,152.41,167.36,171.71,18277,7.268128838,10.6974202,10.42755513,11.92341611,13.5734084,0.456
2313906,927,CE,0,228,3.1,3.8,4.5,5.1,154.8,172.55,193.6,216.78,147,153.2,176.07,188.93,12268,1.487883983,4.253037037,5.012873025,5.670140845,5.946793997,0.394
2313955,929,CE,1,221,3.1,3.5,4.2,4.8,152,169.56,174.59,193.36,147.4,155.54,163.49,174.46,18553,4.667730232,3.066358187,3.36320803,3.653292587,4.537169518,0.459
2314003,931,CE,0,350,3.2,3.9,4.5,4.6,162.4,173.28,188.56,188.05,151,164.07,167.28,168.14,37045,-4.135085033,0.781758695,0.868891801,0.972597168,1.023914091,0.462
2314102,943,CE,1,284,3.1,3.2,4.2,4.8,168.8,170.75,190.88,201.78,157.4,157.23,177.71,188.96,48285,3.064808386,2.604913601,3.015295592,3.236672941,3.280817696,0.369
2400109,5,RN,0,173,4.7,4.9,5,5.2,196,200.99,208.37,203.6,186.6,175.44,179.22,195.99,11303,6.018472388,1.746252385,1.911396052,2.070399661,2.397880241,0.557
2400208,8,RN,0,190,2.2,2.8,3.1,3.5,146.6,159.34,170.52,171.6,142,148.36,152.12,154.61,50606,-0.424775467,8.956471196,9.545292527,9.215009042,11.96757906,0.536
2400307,10,RN,0,147,2.6,3.1,2.5,3.5,160.8,163.47,149.36,176.11,157,141.7,129.38,165.57,10951,-3.584642345,2.106712113,2.758405448,2.759904468,2.960912052,0.456
2400406,15,RN,1,345,3.2,3.5,3.6,4.4,174.2,176.88,180.73,186.37,153,154.49,164.67,177.47,2909,2.997097039,0.53301835,0.475488242,0.505463863,0.508838951,0.411
2400505,27,RN,1,318,2.6,3.1,3.7,4,167.6,180.43,193.86,195.85,159.8,160.18,177.05,178.71,13266,-0.317392611,2.862121792,3.686954255,3.849597716,4.130911108,0.467
2400703,34,RN,0,181,2.6,3.5,3.6,3.7,153.6,168.34,176.64,175.35,148.8,150.01,160.5,163.29,10283,-1.694715687,1.175418872,1.605568907,1.204194505,1.329204466,0.513
2400802,45,RN,0,155,2.1,2.1,2.9,3.8,141,156.46,160.31,188.71,136.6,140.09,143.75,170.94,11590,-2.814549219,2.697662854,2.991143127,3.213756975,3.920701487,0.528
2400901,49,RN,0,302,1.9,2.8,3.1,3.4,153.2,177.08,180.78,171.04,147.4,156.04,165.79,152.96,6251,1.450071225,0.299823884,0.395701606,0.402568146,0.621763701,0.435
2401008,51,RN,1,287,3.5,3.7,4.5,4.8,179.2,181.28,207.71,210.48,172.4,166.93,188.27,188.79,36053,-6.344084237,14.94565533,17.85480696,18.53558977,17.2088766,0.502
2401107,65,RN,1,233,3.1,2.9,3.5,3.9,168.4,148.7,174.48,180.94,154.4,136.45,160.01,168.1,23353,7.98567175,13.12511787,11.43748789,8.044908764,10.11474595,0.55
2401206,67,RN,0,45,2.1,3.1,3,3.4,145.8,165.63,159.63,169.31,136.2,143.45,139.14,162.04,11438,-0.187702518,3.489056216,2.934864552,3.776591652,4.033601764,0.463
2401305,76,RN,0,233,3.1,3.2,2.9,3.6,159.6,162.32,155.67,167.18,158.8,142.1,141.65,168.65,9095,-1.058502593,1.122706831,1.698732356,1.817403575,1.88497806,0.452
2401404,80,RN,0,67,2.7,3.6,3.2,3.4,162,171.12,169.55,172.62,147.6,152.11,151.72,157.77,8196,20.75716118,4.89261384,4.302864583,6.236857452,8.126663475,0.46
